"","Participant","Run","Block","Trial","Condition","Image","RestImage","ConditionOnset","ConditionResposne","ConditionRt"
"SON2_022.1","239",1,1,1,"negative","26M_F.png","Context001.jpg",11.1848,"1!",1.0161
"SON2_022.2","239",1,2,2,"neutral","24M_N.png","Context002.jpg",13.2355,"7&",1.2118
"SON2_022.3","239",1,3,3,"positive","07F_H.png","Context003.jpg",15.3021,"7&",0.9058
"SON2_022.4","239",1,4,4,"positive","11F_H.png","Context004.jpg",17.3527,"7&",0.8529
"SON2_022.5","239",1,5,5,"neutral","28M_N.png","Context001.jpg",19.4027,"1!",1.0955
"SON2_022.6","239",1,6,6,"negative","22M_F.png","Context002.jpg",21.4527,"1!",0.682
"SON2_022.7","239",1,7,7,"neutral","11F_N.png","Context003.jpg",23.5029,"7&",0.8068
"SON2_022.8","239",1,8,8,"positive","16F_H.png","Context004.jpg",25.5542,"7&",1.4586
"SON2_022.9","239",1,9,9,"neutral","33M_N.png","Context004.jpg",27.6037,"1!",0.8483
"SON2_022.10","239",1,10,10,"positive","09F_H.png","Context004.jpg",29.6536,"7&",0.8291
"SON2_022.11","239",1,11,11,"negative","15F_F.png","Context004.jpg",31.7032,"7&",0.9605
"SON2_022.12","239",1,12,12,"positive","05F_H.png","Context004.jpg",33.7537,"7&",1.3435
"SON2_022.13","239",1,13,13,"negative","38M_F.png","Context004.jpg",35.804,"1!",1.046
"SON2_022.14","239",1,14,14,"negative","30M_F.png","Context004.jpg",37.8545,"1!",0.8358
"SON2_022.15","239",1,15,15,"negative","17F_F.png","Context004.jpg",39.9044,"7&",0.7817
"SON2_022.16","239",1,16,16,"positive","08F_H.png","Context004.jpg",41.9539,"7&",0.7494
"SON2_022.17","239",1,17,17,"negative","29M_F.png","Context004.jpg",44.0048,"1!",0.8721
"SON2_022.18","239",1,18,18,"neutral","08F_N.png","Context004.jpg",46.0548,"7&",0.6798
"SON2_022.19","239",1,19,19,"negative","33M_F.png","Context004.jpg",48.1045,"7&",1.0095
"SON2_022.20","239",1,20,20,"negative","31M_F.png","Context004.jpg",50.1545,"7&",1.2979
"SON2_022.21","239",1,21,21,"negative","37M_F.png","Context004.jpg",52.2046,"1!",0.964
"SON2_022.22","239",1,22,22,"neutral","22M_N.png","Context004.jpg",54.2564,"1!",0.8496
"SON2_022.23","239",1,23,23,"neutral","37M_N.png","Context004.jpg",56.3056,"1!",0.9734
"SON2_022.24","239",1,24,24,"positive","20M_H.png","Context004.jpg",58.3556,"7&",0.6691
"SON2_022.25","239",1,25,25,"neutral","31M_N.png","Context004.jpg",60.4059,"1!",0.8139
"SON2_022.26","239",1,26,26,"positive","01F_H.png","Context004.jpg",62.4557,"7&",0.5666
"SON2_022.27","239",1,27,27,"positive","22M_H.png","Context004.jpg",64.5062,"7&",1.3403
"SON2_022.28","239",1,28,28,"neutral","41M_N.png","Context004.jpg",66.5558,"7&",0.9411
"SON2_022.29","239",1,29,29,"neutral","06F_N.png","Context004.jpg",68.6055,"7&",1.3538
"SON2_022.30","239",1,30,30,"positive","43M_H.png","Context004.jpg",70.6562,"7&",0.6444
"SON2_022.31","239",1,31,31,"positive","02F_H.png","Context004.jpg",72.7059,"7&",0.7952
"SON2_022.32","239",1,32,32,"neutral","16F_N.png","Context004.jpg",74.7565,"1!",0.6909
"SON2_022.33","239",1,33,33,"positive","32M_H.png","Context004.jpg",76.8069,"1!",0.7177
"SON2_022.34","239",1,34,34,"positive","17F_H.png","Context004.jpg",78.8565,"7&",0.7833
"SON2_022.35","239",1,35,35,"positive","33M_H.png","Context004.jpg",80.9064,"7&",1.0001
"SON2_022.36","239",1,36,36,"negative","21M_F.png","Context004.jpg",82.9572,"7&",1.1298
"SON2_022.37","239",1,37,37,"neutral","01F_N.png","Context004.jpg",85.0072,"7&",0.5846
"SON2_022.38","239",1,38,38,"negative","08F_F.png","Context004.jpg",87.0569,"1!",0.8813
"SON2_022.39","239",1,39,39,"neutral","43M_N.png","Context004.jpg",89.1078,"1!",1.0349
"SON2_022.40","239",1,40,40,"negative","12F_F.png","Context004.jpg",91.158,"7&",1.1027
"SON2_022.41","239",1,41,41,"neutral","27M_N.png","Context004.jpg",93.2081,"1!",1.0444
"SON2_022.42","239",1,42,42,"neutral","14F_N.png","Context004.jpg",95.241,"1!",1.1569
"SON2_022.43","239",1,43,43,"positive","30M_H.png","Context004.jpg",97.2913,"1!",0.7724
"SON2_022.44","239",1,44,44,"neutral","03F_N.png","Context004.jpg",99.3417,"7&",1.0102
"SON2_022.45","239",1,45,45,"neutral","23M_N.png","Context004.jpg",101.3914,"7&",0.6336
"SON2_022.46","239",1,46,46,"negative","40M_F.png","Context004.jpg",103.4415,"7&",0.6778
"SON2_022.47","239",1,47,47,"positive","25M_H.png","Context004.jpg",105.492,"1!",0.9525
"SON2_022.48","239",1,48,48,"negative","13F_F.png","Context004.jpg",107.5432,"1!",0.8372
"SON2_022.49","239",1,49,49,"neutral","40M_N.png","Context004.jpg",109.5926,"7&",0.8508
"SON2_022.50","239",1,50,50,"negative","09F_F.png","Context004.jpg",111.6424,"1!",1.0525
"SON2_022.51","239",1,51,51,"negative","16F_F.png","Context004.jpg",113.6754,"7&",0.9981
"SON2_022.52","239",1,52,52,"neutral","26M_N.png","Context004.jpg",115.7265,"1!",0.8458
"SON2_022.53","239",1,53,53,"neutral","07F_N.png","Context004.jpg",117.7767,"7&",0.9012
"SON2_022.54","239",1,54,54,"negative","35M_F.png","Context004.jpg",119.8265,"7&",0.9391
"SON2_022.55","239",1,55,55,"neutral","17F_N.png","Context004.jpg",121.8768,"7&",0.802
"SON2_022.56","239",1,56,56,"neutral","38M_N.png","Context004.jpg",123.9263,"7&",1.0905
"SON2_022.57","239",1,57,57,"positive","18F_H.png","Context004.jpg",125.9762,"7&",0.9133
"SON2_022.58","239",1,58,58,"negative","39M_F.png","Context004.jpg",128.0267,"7&",0.779
